                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3545,                 5.3513,                0.76745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000139,               0.000139,               0.000139
                      2,                 1.2534,                 3.6282,                0.72743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027026,             0.00027026,             0.00027026
                      3,                 1.1726,                 2.8681,                0.73127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038941,             0.00038941,             0.00038941
                      4,                 1.1029,                 2.5048,                0.72562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038941,             0.00038941,             0.00038941
                      5,                 1.0851,                 2.2517,                0.72155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037561,             0.00037561,             0.00037561
                      6,                 1.0711,                 2.0415,                0.72419,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036182,             0.00036182,             0.00036182
                      7,                 1.0393,                 1.8068,                0.71968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034802,             0.00034802,             0.00034802
                      8,                 1.0101,                  1.664,                0.71583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033423,             0.00033423,             0.00033423
                      9,                 1.0232,                  1.586,                0.71297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032043,             0.00032043,             0.00032043
                     10,                0.99209,                 1.4316,                0.70891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030664,             0.00030664,             0.00030664
                     11,                0.97949,                 1.3088,                0.70964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029284,             0.00029284,             0.00029284
                     12,                0.96367,                 1.2844,                0.70257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027905,             0.00027905,             0.00027905
                     13,                0.96803,                 1.2232,                0.70111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026525,             0.00026525,             0.00026525
                     14,                0.91758,                 1.1227,                 0.7013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025146,             0.00025146,             0.00025146
                     15,                0.94499,                 1.1231,                0.69979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023766,             0.00023766,             0.00023766
                     16,                 0.9195,                 1.0335,                0.70389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022387,             0.00022387,             0.00022387
                     17,                 0.9198,                 1.0217,                0.69631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021007,             0.00021007,             0.00021007
                     18,                 0.8966,                0.95927,                0.69711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019628,             0.00019628,             0.00019628
                     19,                0.89416,                0.94208,                0.69873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018248,             0.00018248,             0.00018248
                     20,                0.89331,                 0.9127,                0.69281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016869,             0.00016869,             0.00016869
                     21,                0.88636,                0.96081,                0.69892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015489,             0.00015489,             0.00015489
                     22,                0.87822,                0.90591,                0.69615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001411,              0.0001411,              0.0001411
                     23,                0.86891,                 0.8785,                0.68981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001273,              0.0001273,              0.0001273
                     24,                0.86346,                0.85036,                0.69449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011351,             0.00011351,             0.00011351
                     25,                0.86268,                0.85923,                0.69162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9711e-05,             9.9711e-05,             9.9711e-05
                     26,                0.83945,                0.80223,                0.68965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5915e-05,             8.5915e-05,             8.5915e-05
                     27,                0.82149,                0.80245,                0.68516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.212e-05,              7.212e-05,              7.212e-05
                     28,                0.82176,                 0.7674,                0.68798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8325e-05,             5.8325e-05,             5.8325e-05
                     29,                 0.8148,                0.76086,                0.68731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              4.453e-05,              4.453e-05,              4.453e-05
                     30,                0.80949,                  0.748,                0.68317,                0.93743,                0.65835,                0.79889,                 0.5097,                0.79501,                0.52112,                0.66226,             3.0735e-05,             3.0735e-05,             3.0735e-05
