fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.51144,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.50711,0.01001,0.0099,0.93877,0.00048,2.97335,0.7765,7.22364,0.5,1.49009,0.015,0.70811,0.38826,0.0,0.10033,0.4978,0.0,0.0,0.0,0.50155,0.96971,0.0,0.0
0.49295,0.00965,0.01041,0.94256,0.00053,2.95325,0.85307,7.5,0.57795,1.5,0.01404,0.70708,0.40003,0.0,0.07901,0.5589,0.0,0.0,0.0,0.62104,0.90377,0.0,0.0
0.52849,0.01016,0.00812,0.92251,0.0005,2.3385,0.68149,7.5,0.50783,1.63643,0.015,0.7,0.4,0.0,0.09903,0.54288,0.0,0.0,0.0,0.45134,1.0,0.0,0.0
0.50281,0.00954,0.0099,0.9422,0.00054,2.90805,0.8233,7.80566,0.46789,1.6047,0.01517,0.73418,0.4031,0.0,0.09044,0.50553,0.0,0.0,0.0,0.52989,0.98662,0.0,0.0
0.53217,0.01025,0.00968,0.92251,0.0005,2.3385,0.69331,6.14319,0.35506,1.63643,0.01923,0.82889,0.28596,0.0,0.09051,0.50719,0.0,0.0,0.0,0.27973,0.85215,0.0,0.0
0.50975,0.01001,0.00895,0.937,0.00044,3.0,0.88546,7.78337,0.51615,1.54267,0.01754,0.69768,0.33012,0.0,0.09462,0.57062,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.53625,0.01121,0.00885,0.92209,0.00049,2.47245,0.66461,5.82954,0.34715,1.63643,0.01868,0.82889,0.30555,0.0,0.09051,0.5305,0.0,0.0,0.0,0.27973,0.85215,0.0,0.0
0.51735,0.01007,0.00812,0.92251,0.00049,2.3337,0.68898,7.60726,0.50824,1.64752,0.015,0.69449,0.40231,0.0,0.09996,0.53649,0.0,0.0,0.0,0.44153,1.0,0.0,0.0
0.52254,0.00917,0.00685,0.92251,0.00048,2.30114,0.68898,6.49466,0.50824,1.48886,0.01554,0.73591,0.40598,0.0,0.09996,0.46546,0.0,0.0,0.0,0.41154,1.0,0.0,0.0
0.50505,0.01183,0.0105,0.86465,0.00051,2.47245,0.66461,7.7368,0.28287,1.77241,0.01868,0.9,0.3175,0.0,0.08563,0.55663,0.0,0.0,0.0,0.27973,0.85215,0.0,0.0
0.53927,0.00917,0.00719,0.93424,0.0005,2.20437,0.71393,6.60418,0.47281,1.3719,0.01554,0.73591,0.403,0.0,0.10472,0.46546,0.0,0.0,0.0,0.34904,0.95852,0.0,0.0
0.53083,0.00915,0.00694,0.93051,0.00049,2.1694,0.72249,6.49102,0.47281,1.36994,0.01554,0.74277,0.403,0.0,0.10472,0.46546,0.0,0.0,0.0,0.33876,0.96873,0.0,0.0
0.527,0.01117,0.00886,0.91969,0.00049,2.45202,0.66461,5.87195,0.35291,1.60971,0.01901,0.80449,0.30941,0.0,0.08898,0.53003,0.0,0.0,0.0,0.27754,0.85886,0.0,0.0
0.52637,0.00915,0.00666,0.96702,0.00044,2.1694,0.69906,6.16791,0.41578,1.34294,0.0144,0.63374,0.40793,0.0,0.10472,0.44214,0.0,0.0,0.0,0.33876,1.0,0.0,0.0
0.53298,0.00906,0.00705,0.92945,0.00048,2.26321,0.72144,6.60418,0.47584,1.3719,0.0158,0.70815,0.403,0.0,0.10472,0.47475,0.0,0.0,0.0,0.34904,0.95852,0.0,0.0
0.51768,0.0104,0.00722,0.91671,0.00052,2.27057,0.72144,6.60418,0.29309,1.71746,0.01238,0.70815,0.52851,0.0,0.10059,0.56391,0.0,0.0,0.0,0.34273,1.0,0.0,0.0
0.52556,0.00917,0.00721,0.93027,0.0005,2.16771,0.66807,6.63013,0.48589,1.38055,0.01549,0.70656,0.41014,0.0,0.10789,0.46354,0.0,0.0,0.0,0.34443,0.98307,0.0,0.0
0.5335,0.00917,0.00719,0.91246,0.00048,2.06832,0.71668,7.23414,0.45324,1.019,0.01553,0.73591,0.4343,0.0,0.10472,0.46546,0.0,0.0,0.0,0.31379,0.80071,0.0,0.0
